,codigo,bairro,valor,condominio+iptu,area,banheiros,suites,garagem,portao eletronico,DCE,salas,total de uni.,varanda,piscinas,posicao,descricao da vaga,unidade por andar,sol da manha,playground,circuito de tv,quadra de esporte,jardins,elevador,academia,hall social,sauna,salao de festas,quartos,portaria permanente
355,648105,bento ferreira,385000.0,642.69,120.0,1.0,1.0,2.0,1,1,1,6,0,0, Frente, solidaria. ,2,0,0,0,0,0,0,0,0,0,0,3,0
797,583084,jardim da penha,740000.0,472.48,100.0,1.0,1.0,2.0,1,1,2,20,1,0, Frente," privativa, solidária ",2,1,0,0,0,1,1,0,0,0,1,3,0
1020,641440,praia do canto,1750000.0,1175.0,180.0,1.0,3.0,2.0,1,1,2,26,1,1, Frente, privativas / soltas ,2,1,0,1,1,1,1,0,0,1,1,4,1
686,611382,enseada do suá,625000.0,597.94,92.0,2.0,1.0,2.0,1,0,1,324,2,1, Lateral, solidárias descobertas ,6,1,1,1,1,1,1,1,1,1,1,3,1
565,665162,jardim da penha,510000.0,342.8,90.0,3.0,1.0,1.0,1,1,1,20,1,0, Frente, livre e coberta ,4,0,0,0,0,0,1,0,1,0,1,3,0
19,660285,jardim camburi,195000.0,289.0,51.98,1.0,0.0,1.0,1,0,1,36,0,0, Frente, coberta ,4,1,0,0,0,0,0,0,1,0,0,2,0
1354,657250,praia da costa,350000.0,700.0,97.37,2.0,0.0,1.0,1,0,1,32,1,0, Fundo, privativa coberta ,4,0,0,1,0,0,1,0,1,0,0,3,1
631,634091,mata da praia,568000.0,810.0,110.0,1.0,1.0,2.0,1,0,1,24,1,1, Frente, privativa / livre ,6,0,1,1,0,1,1,0,1,0,0,3,1
380,649983,jardim da penha,395000.0,354.1,100.0,3.0,1.0,1.0,1,0,1,12,2,0, Frente, coberta e livre ,4,1,0,0,0,1,0,0,0,0,0,3,0
361,512238,bento ferreira,390000.0,523.0,123.1,1.0,1.0,1.0,1,1,2,40,0,0, Frente, privativa ,4,1,0,1,0,0,1,0,1,0,1,3,1
1511,530383,itapuã,1200000.0,650.0,220.0,3.0,1.0,3.0,1,1,1,48,1,1, Frente, privativa / coberta ,4,1,1,1,1,1,1,0,1,1,1,3,1
